iteration,S
1,-9.37056
2,-16.8511
3,-22.8511
4,-27.6789
5,-31.5702
6,-34.7072
7,-37.2324
8,-39.2586
9,-40.8752
10,-42.1544
11,-43.1542
12,-43.9221
13,-44.4965
14,-44.9095
15,-45.1872
16,-45.3515
17,-45.4205
18,-45.4096
19,-45.3313
20,-45.1966
21,-45.0144
22,-44.7926
23,-44.5375
24,-44.2548
25,-43.9492
26,-43.6248
27,-43.2851
28,-42.9329
29,-42.5708
30,-42.2011
31,-41.8256
32,-41.4459
33,-41.0634
34,-40.6793
35,-40.2946
36,-39.9101
37,-39.5267
38,-39.145
39,-38.7655
40,-38.3887
41,-38.0149
42,-37.6445
43,-37.2779
44,-36.9151
45,-36.5564
46,-36.202
47,-35.852
48,-35.5064
49,-35.1654
50,-34.8289
51,-34.4971
52,-34.17
53,-33.8475
54,-33.5296
55,-33.2164
56,-32.9078
57,-32.6038
58,-32.3043
59,-32.0092
60,-31.7187
61,-31.4325
62,-31.1506
63,-30.873
64,-30.5996
65,-30.3304
66,-30.0652
67,-29.8041
68,-29.5469
69,-29.2936
70,-29.0441
71,-28.7983
72,-28.5562
73,-28.3178
74,-28.0829
75,-27.8515
76,-27.6235
77,-27.3988
78,-27.1774
79,-26.9593
80,-26.7443
81,-26.5324
82,-26.3235
83,-26.1177
84,-25.9147
85,-25.7146
86,-25.5173
87,-25.3227
88,-25.1309
89,-24.9417
90,-24.755
91,-24.5709
92,-24.3893
93,-24.2101
94,-24.0333
95,-23.8588
96,-23.6866
97,-23.5166
98,-23.3489
99,-23.1833
100,-23.0198
101,-22.8583
102,-22.6989
103,-22.5415
104,-22.386
105,-22.2324
106,-22.0807
107,-21.9308
108,-21.7827
109,-21.6363
110,-21.4917
111,-21.3487
112,-21.2074
113,-21.0677
114,-20.9296
115,-20.7931
116,-20.6581
117,-20.5246
118,-20.3925
119,-20.2619
120,-20.1327
121,-20.0048
122,-19.8784
123,-19.7532
124,-19.6294
125,-19.5068
126,-19.3855
127,-19.2654
128,-19.1465
129,-19.0288
130,-18.9123
131,-18.7969
132,-18.6826
133,-18.5694
134,-18.4573
135,-18.3462
136,-18.2362
137,-18.1272
138,-18.0192
139,-17.9121
140,-17.8061
141,-17.701
142,-17.5968
143,-17.4935
144,-17.3911
145,-17.2896
146,-17.189
147,-17.0892
148,-16.9902
149,-16.8921
150,-16.7947
151,-16.6982
152,-16.6024
153,-16.5075
154,-16.4132
155,-16.3197
156,-16.2269
157,-16.1349
158,-16.0435
159,-15.9529
160,-15.8629
161,-15.7736
162,-15.685
163,-15.597
164,-15.5096
165,-15.4229
166,-15.3368
167,-15.2513
168,-15.1664
169,-15.0821
170,-14.9984
171,-14.9153
172,-14.8327
173,-14.7507
174,-14.6693
175,-14.5884
176,-14.508
177,-14.4282
178,-14.3488
179,-14.27
180,-14.1917
181,-14.1139
182,-14.0366
183,-13.9598
184,-13.8835
185,-13.8076
186,-13.7322
187,-13.6573
188,-13.5828
189,-13.5088
190,-13.4352
191,-13.3621
192,-13.2894
193,-13.2171
194,-13.1453
195,-13.0739
196,-13.0029
197,-12.9323
198,-12.8621
199,-12.7923
200,-12.723
201,-12.654
202,-12.5854
203,-12.5172
204,-12.4493
205,-12.3819
206,-12.3148
207,-12.2481
208,-12.1818
209,-12.1158
210,-12.0502
211,-11.9849
212,-11.92
213,-11.8555
214,-11.7913
215,-11.7274
216,-11.6639
217,-11.6007
218,-11.5378
219,-11.4753
220,-11.4131
221,-11.3513
222,-11.2897
223,-11.2285
224,-11.1676
225,-11.107
226,-11.0468
227,-10.9868
228,-10.9272
229,-10.8678
230,-10.8088
231,-10.75
232,-10.6916
233,-10.6335
234,-10.5756
235,-10.5181
236,-10.4608
237,-10.4039
238,-10.3472
239,-10.2908
240,-10.2347
241,-10.1788
242,-10.1233
243,-10.068
244,-10.013
245,-9.95832
246,-9.90387
247,-9.8497
248,-9.7958
249,-9.74217
250,-9.6888
251,-9.6357
252,-9.58286
253,-9.53029
254,-9.47798
255,-9.42592
256,-9.37413
257,-9.32259
258,-9.2713
259,-9.22027
260,-9.16949
261,-9.11897
262,-9.06869
263,-9.01866
264,-8.96888
265,-8.91934
266,-8.87005
267,-8.821
268,-8.7722
269,-8.72363
270,-8.67531
271,-8.62722
272,-8.57938
273,-8.53176
274,-8.48439
275,-8.43725
276,-8.39034
277,-8.34366
278,-8.29721
279,-8.251
280,-8.20501
281,-8.15925
282,-8.11372
283,-8.06841
284,-8.02333
285,-7.97847
286,-7.93383
287,-7.88942
288,-7.84523
289,-7.80125
290,-7.7575
291,-7.71396
292,-7.67064
293,-7.62754
294,-7.58465
295,-7.54197
296,-7.49951
297,-7.45726
298,-7.41522
299,-7.37339
300,-7.33177
301,-7.29036
302,-7.24916
303,-7.20817
304,-7.16738
305,-7.12679
306,-7.08641
307,-7.04624
308,-7.00626
309,-6.96649
310,-6.92692
311,-6.88755
312,-6.84838
313,-6.8094
314,-6.77063
315,-6.73205
316,-6.69367
317,-6.65548
318,-6.61749
319,-6.57969
320,-6.54208
321,-6.50467
322,-6.46744
323,-6.43041
