iteration,S
0,-0
1,-37.6769
2,-66.6227
3,-89.4933
4,-107.964
5,-123.15
6,-135.825
7,-146.543
8,-155.708
9,-163.625
10,-170.524
11,-176.584
12,-181.946
13,-186.72
14,-190.996
15,-194.846
16,-198.331
17,-201.497
18,-204.388
19,-207.036
20,-209.47
21,-211.715
22,-213.792
23,-215.719
24,-217.512
25,-219.183
26,-220.745
27,-222.208
28,-223.58
29,-224.871
30,-226.086
31,-227.233
32,-228.316
33,-229.342
34,-230.313
35,-231.235
36,-232.111
37,-232.945
38,-233.738
39,-234.495
40,-235.216
41,-235.906
42,-236.565
43,-237.196
44,-237.8
45,-238.379
46,-238.934
47,-239.467
48,-239.979
49,-240.471
50,-240.944
51,-241.398
52,-241.836
53,-242.258
54,-242.664
55,-243.056
56,-243.434
57,-243.798
58,-244.15
59,-244.489
60,-244.817
61,-245.133
62,-245.439
63,-245.735
64,-246.02
65,-246.297
66,-246.564
67,-246.823
68,-247.073
69,-247.315
70,-247.549
71,-247.776
72,-247.996
73,-248.208
74,-248.414
75,-248.614
76,-248.807
77,-248.994
78,-249.175
79,-249.351
80,-249.522
81,-249.687
82,-249.847
83,-250.002
84,-250.152
85,-250.298
86,-250.439
87,-250.576
88,-250.709
89,-250.838
90,-250.963
91,-251.084
92,-251.201
93,-251.315
94,-251.425
95,-251.533
96,-251.636
97,-251.737
98,-251.835
99,-251.93
100,-252.022
101,-252.111
102,-252.197
103,-252.281
104,-252.363
105,-252.442
106,-252.518
107,-252.593
108,-252.665
109,-252.735
110,-252.803
111,-252.868
112,-252.932
113,-252.994
114,-253.054
115,-253.113
116,-253.169
117,-253.224
118,-253.277
119,-253.329
120,-253.379
121,-253.428
122,-253.475
123,-253.521
124,-253.565
125,-253.608
126,-253.65
127,-253.69
128,-253.73
129,-253.768
130,-253.805
131,-253.841
132,-253.876
133,-253.909
134,-253.942
135,-253.974
136,-254.005
137,-254.035
138,-254.064
139,-254.092
140,-254.12
141,-254.146
142,-254.172
143,-254.197
144,-254.221
145,-254.245
146,-254.268
147,-254.29
148,-254.311
149,-254.332
150,-254.352
151,-254.372
152,-254.391
153,-254.409
154,-254.427
155,-254.445
156,-254.462
157,-254.478
158,-254.494
159,-254.509
160,-254.524
161,-254.539
162,-254.553
163,-254.567
164,-254.58
165,-254.593
166,-254.605
167,-254.617
168,-254.629
169,-254.64
170,-254.651
171,-254.662
172,-254.673
173,-254.683
174,-254.693
175,-254.702
176,-254.711
177,-254.72
178,-254.729
179,-254.737
180,-254.746
181,-254.754
182,-254.761
183,-254.769
184,-254.776
185,-254.783
186,-254.79
187,-254.796
188,-254.803
189,-254.809
190,-254.815
191,-254.821
192,-254.827
193,-254.832
194,-254.838
195,-254.843
196,-254.848
197,-254.853
198,-254.858
199,-254.862
200,-254.867
201,-254.871
202,-254.875
203,-254.879
204,-254.883
205,-254.887
206,-254.891
207,-254.895
208,-254.898
209,-254.902
210,-254.905
211,-254.908
212,-254.911
213,-254.914
214,-254.917
215,-254.92
216,-254.923
217,-254.926
218,-254.928
219,-254.931
220,-254.933
221,-254.936
222,-254.938
223,-254.94
224,-254.942
225,-254.945
226,-254.947
227,-254.949
228,-254.951
229,-254.952
230,-254.954
231,-254.956
232,-254.958
233,-254.959
234,-254.961
235,-254.963
236,-254.964
237,-254.966
