iteration,S
0,-0
1,-2.19113
2,-5.5647
3,-9.88244
4,-13.1049
5,-15.7218
6,-19.133
7,-22.8103
8,-25.0812
9,-29.1659
10,-31.9502
11,-34.5218
12,-38.3622
13,-40.2665
14,-43.5569
15,-45.4566
16,-46.7575
17,-48.6933
18,-50.8508
19,-52.9789
20,-55.0946
21,-57.495
22,-59.2373
23,-61.4
24,-63.2475
25,-64.708
26,-67.1554
27,-70.1541
28,-72.912
29,-74.4289
30,-76.8497
31,-79.0081
32,-81.1093
33,-82.651
34,-84.799
35,-86.3818
36,-88.4902
37,-90.9633
38,-92.4824
39,-93.9466
40,-95.526
41,-96.684
42,-98.1805
43,-99.46
44,-100.825
45,-102.385
46,-103.21
47,-104.391
48,-106.126
49,-107.67
50,-108.183
51,-109.228
52,-110.581
53,-111.793
54,-112.532
55,-114.024
56,-114.956
57,-116.501
58,-117.327
59,-118.011
60,-118.804
61,-119.48
62,-120.795
63,-121.908
64,-123.008
65,-124.036
66,-125.147
67,-125.792
68,-126.347
69,-127.072
70,-128.029
71,-128.639
72,-129.322
73,-130.252
74,-130.776
75,-131.316
76,-132.09
77,-132.966
78,-133.416
79,-134.01
80,-134.467
81,-135.167
82,-135.729
83,-136.225
84,-136.646
85,-137.28
86,-137.734
87,-138.148
88,-138.749
89,-139.272
90,-139.631
91,-140.116
92,-140.527
93,-140.943
94,-141.527
95,-141.995
96,-142.745
97,-143.374
98,-144.002
99,-144.529
100,-145.041
101,-145.535
102,-145.914
103,-146.244
104,-146.553
105,-146.987
106,-147.446
107,-147.914
108,-148.372
109,-148.709
110,-149.196
111,-149.544
112,-149.916
113,-150.426
114,-150.802
115,-151.147
116,-151.402
117,-151.809
118,-152.232
119,-152.814
120,-153.272
121,-153.668
122,-154.027
123,-154.303
124,-154.642
125,-155.032
126,-155.247
127,-155.528
128,-155.767
129,-156.024
130,-156.454
131,-156.702
132,-156.984
133,-157.378
134,-157.713
135,-158.03
136,-158.293
137,-158.687
138,-159.043
139,-159.348
140,-159.586
141,-159.791
142,-160.183
143,-160.387
144,-160.583
145,-160.872
146,-161.132
147,-161.482
148,-161.795
149,-162.089
150,-162.382
151,-162.565
152,-162.738
153,-162.974
154,-163.231
155,-163.426
156,-163.55
157,-163.802
158,-163.997
159,-164.163
160,-164.439
161,-164.704
162,-164.938
