iteration,S
1,-62.5051
2,-97.6102
3,-122.358
4,-141.374
5,-156.656
6,-169.278
7,-179.895
8,-188.941
9,-196.726
10,-203.476
11,-209.364
12,-214.525
13,-219.069
14,-223.082
15,-226.638
16,-229.797
17,-232.61
18,-235.12
19,-237.363
20,-239.371
21,-241.17
22,-242.78
23,-244.218
24,-245.496
25,-246.625
26,-247.616
27,-248.483
28,-249.239
29,-249.903
30,-250.488
31,-251.007
32,-251.47
33,-251.883
34,-252.252
35,-252.581
36,-252.873
37,-253.131
38,-253.358
39,-253.558
40,-253.733
41,-253.887
42,-254.021
43,-254.14
44,-254.245
45,-254.339
46,-254.422
47,-254.498
48,-254.567
49,-254.631
50,-254.689
51,-254.743
52,-254.792
53,-254.836
54,-254.874
55,-254.907
56,-254.933
57,-254.954
58,-254.968
59,-254.979
60,-254.986
61,-254.991
62,-254.995
63,-254.998
64,-255
65,-255.002
66,-255.004
67,-255.005
68,-255.007
69,-255.008
70,-255.009
71,-255.01
72,-255.011
73,-255.012
74,-255.013
75,-255.014
76,-255.014
77,-255.015
78,-255.015
79,-255.016
80,-255.016
81,-255.016
82,-255.016
83,-255.017
84,-255.017
85,-255.017
86,-255.017
87,-255.017
88,-255.017
89,-255.017
90,-255.017
91,-255.017
92,-255.017
93,-255.017
94,-255.017
95,-255.017
96,-255.017
97,-255.017
98,-255.017
99,-255.017
100,-255.018
101,-255.018
102,-255.018
103,-255.018
104,-255.018
105,-255.018
106,-255.018
107,-255.018
108,-255.018
109,-255.018
110,-255.018
111,-255.018
112,-255.018
113,-255.018
114,-255.018
115,-255.018
116,-255.018
117,-255.018
118,-255.018
119,-255.018
120,-255.018
121,-255.018
122,-255.018
123,-255.018
124,-255.018
125,-255.018
126,-255.018
127,-255.018
128,-255.018
129,-255.018
130,-255.018
131,-255.018
132,-255.018
133,-255.018
134,-255.018
135,-255.018
136,-255.018
137,-255.018
138,-255.018
139,-255.018
140,-255.018
141,-255.018
142,-255.018
143,-255.018
144,-255.018
145,-255.018
146,-255.018
147,-255.018
148,-255.018
149,-255.018
150,-255.018
151,-255.018
152,-255.018
153,-255.018
154,-255.018
155,-255.018
156,-255.018
157,-255.018
158,-255.018
159,-255.018
160,-255.018
161,-255.018
162,-255.018
163,-255.018
164,-255.018
165,-255.018
166,-255.018
167,-255.018
168,-255.018
169,-255.018
170,-255.018
171,-255.018
172,-255.018
173,-255.018
174,-255.018
175,-255.018
176,-255.018
177,-255.018
178,-255.018
179,-255.018
180,-255.018
181,-255.018
182,-255.018
183,-255.018
184,-255.018
185,-255.018
186,-255.018
187,-255.018
188,-255.018
189,-255.018
190,-255.018
191,-255.018
192,-255.018
193,-255.018
194,-255.018
195,-255.018
196,-255.018
197,-255.018
198,-255.018
199,-255.018
200,-255.018
201,-255.018
202,-255.018
203,-255.018
204,-255.018
205,-255.018
206,-255.018
207,-255.018
208,-255.018
209,-255.018
