i,j,value
-31,-31,0
-31,-30,0
-31,-29,0
-31,-28,0
-31,-27,0
-31,-26,0
-31,-25,0
-31,-24,0
-31,-23,0
-31,-22,0
-31,-21,0
-31,-20,0
-31,-19,0
-31,-18,0
-31,-17,0
-31,-16,0
-31,-15,0
-31,-14,0
-31,-13,0
-31,-12,0
-31,-11,0
-31,-10,0
-31,-9,0
-31,-8,0
-31,-7,0
-31,-6,0
-31,-5,0
-31,-4,0
-31,-3,0
-31,-2,0
-31,-1,0
-31,0,0
-31,1,0
-31,2,0
-31,3,0
-31,4,0
-31,5,0
-31,6,0
-31,7,0
-31,8,0
-31,9,0
-31,10,0
-31,11,0
-31,12,0
-31,13,0
-31,14,0
-31,15,0
-31,16,0
-31,17,0
-31,18,0
-31,19,0
-31,20,0
-31,21,0
-31,22,0
-31,23,0
-31,24,0
-31,25,0
-31,26,0
-31,27,0
-31,28,0
-31,29,0
-31,30,0
-31,31,0
-30,-31,0
-30,-30,3.0553e-06
-30,-29,5.94447e-06
-30,-28,9.67827e-06
-30,-27,1.46231e-05
-30,-26,2.12106e-05
-30,-25,2.99441e-05
-30,-24,4.13998e-05
-30,-23,5.62223e-05
-30,-22,7.51122e-05
-30,-21,9.88048e-05
-30,-20,0.00012804
-30,-19,0.000163525
-30,-18,0.000205884
-30,-17,0.000255609
-30,-16,0.000313004
-30,-15,0.000378134
-30,-14,0.00045077
-30,-13,0.000530362
-30,-12,0.000616008
-30,-11,0.000706457
-30,-10,0.00080012
-30,-9,0.000895115
-30,-8,0.000989325
-30,-7,0.00108048
-30,-6,0.00116624
-30,-5,0.00124432
-30,-4,0.00131258
-30,-3,0.00136911
-30,-2,0.00141237
-30,-1,0.00144119
-30,0,0.00145488
-30,1,0.00145324
-30,2,0.00143653
-30,3,0.00140549
-30,4,0.00136125
-30,5,0.00130529
-30,6,0.00123937
-30,7,0.0011654
-30,8,0.00108541
-30,9,0.0010014
-30,10,0.000915331
-30,11,0.000829009
-30,12,0.000744056
-30,13,0.000661863
-30,14,0.000583579
-30,15,0.00051009
-30,16,0.000442033
-30,17,0.000379805
-30,18,0.000323589
-30,19,0.000273377
-30,20,0.000229001
-30,21,0.000190167
-30,22,0.000156478
-30,23,0.000127464
-30,24,0.000102601
-30,25,8.13321e-05
-30,26,6.30775e-05
-30,27,4.72434e-05
-30,28,3.3226e-05
-30,29,2.04125e-05
-30,30,8.17861e-06
-30,31,0
-29,-31,0
-29,-30,5.82722e-06
-29,-29,1.11198e-05
-29,-28,1.79476e-05
-29,-27,2.6963e-05
-29,-26,3.89309e-05
-29,-25,5.47384e-05
-29,-24,7.53953e-05
-29,-23,0.000102025
-29,-22,0.000135839
-29,-21,0.000178101
-29,-20,0.000230074
-29,-19,0.000292948
-29,-18,0.000367761
-29,-17,0.000455309
-29,-16,0.000556054
-29,-15,0.000670032
-29,-14,0.000796774
-29,-13,0.000935251
-29,-12,0.00108383
-29,-11,0.00124029
-29,-10,0.00140184
-29,-9,0.0015652
-29,-8,0.00172669
-29,-7,0.00188243
-29,-6,0.0020284
-29,-5,0.00216072
-29,-4,0.00227577
-29,-3,0.00237036
-29,-2,0.0024419
-29,-1,0.00248852
-29,0,0.00250912
-29,1,0.00250343
-29,2,0.00247201
-29,3,0.00241618
-29,4,0.00233795
-29,5,0.00223992
-29,6,0.00212509
-29,7,0.0019968
-29,8,0.00185848
-29,9,0.00171359
-29,10,0.00156544
-29,11,0.0014171
-29,12,0.00127132
-29,13,0.00113045
-29,14,0.000996404
-29,15,0.00087068
-29,16,0.000754334
-29,17,0.000648017
-29,18,0.000552018
-29,19,0.000466305
-29,20,0.000390575
-29,21,0.00032431
-29,22,0.000266823
-29,23,0.000217302
-29,24,0.000174847
-29,25,0.000138499
-29,26,0.000107263
-29,27,8.01183e-05
