i,j,value
-31,-31,0
-31,-30,0
-31,-29,0
-31,-28,0
-31,-27,0
-31,-26,0
-31,-25,0
-31,-24,0
-31,-23,0
-31,-22,0
-31,-21,0
-31,-20,0
-31,-19,0
-31,-18,0
-31,-17,0
-31,-16,0
-31,-15,0
-31,-14,0
-31,-13,0
-31,-12,0
-31,-11,0
-31,-10,0
-31,-9,0
-31,-8,0
-31,-7,0
-31,-6,0
-31,-5,0
-31,-4,0
-31,-3,0
-31,-2,0
-31,-1,0
-31,0,0
-31,1,0
-31,2,0
-31,3,0
-31,4,0
-31,5,0
-31,6,0
-31,7,0
-31,8,0
-31,9,0
-31,10,0
-31,11,0
-31,12,0
-31,13,0
-31,14,0
-31,15,0
-31,16,0
-31,17,0
-31,18,0
-31,19,0
-31,20,0
-31,21,0
-31,22,0
-31,23,0
-31,24,0
-31,25,0
-31,26,0
-31,27,0
-31,28,0
-31,29,0
-31,30,0
-31,31,0
-30,-31,0
-30,-30,-6.52819e-06
-30,-29,-1.47375e-05
-30,-28,-2.58503e-05
-30,-27,-4.14296e-05
-30,-26,-6.34873e-05
-30,-25,-9.45993e-05
-30,-24,-0.000138018
-30,-23,-0.000197773
-30,-22,-0.00027875
-30,-21,-0.000386719
-30,-20,-0.000528312
-30,-19,-0.000710901
-30,-18,-0.000942392
-30,-17,-0.00123089
-30,-16,-0.00158422
-30,-15,-0.00200939
-30,-14,-0.00251188
-30,-13,-0.00309487
-30,-12,-0.00375854
-30,-11,-0.00449932
-30,-10,-0.00530931
-30,-9,-0.00617598
-30,-8,-0.00708207
-30,-7,-0.00800595
-30,-6,-0.00892229
-30,-5,-0.00980315
-30,-4,-0.0106195
-30,-3,-0.0113426
-30,-2,-0.0119462
-30,-1,-0.012408
-30,0,-0.0127109
-30,1,-0.0128445
-30,2,-0.0128055
-30,3,-0.012598
-30,4,-0.0122328
-30,5,-0.0117264
-30,6,-0.0111003
-30,7,-0.0103788
-30,8,-0.00958794
-30,9,-0.00875373
-30,10,-0.00790091
-30,11,-0.00705188
-30,12,-0.0062259
-30,13,-0.0054387
-30,14,-0.00470225
-30,15,-0.00402488
-30,16,-0.00341154
-30,17,-0.00286421
-30,18,-0.00238242
-30,19,-0.00196369
-30,20,-0.00160413
-30,21,-0.00129881
-30,22,-0.0010422
-30,23,-0.000828494
-30,24,-0.000651843
-30,25,-0.000506523
-30,26,-0.000387038
-30,27,-0.000288144
-30,28,-0.000204833
-30,29,-0.000132255
-30,30,-6.56088e-05
-30,31,0
-29,-31,0
-29,-30,-1.44306e-05
-29,-29,-3.25159e-05
-29,-28,-5.69125e-05
-29,-27,-9.10037e-05
-29,-26,-0.000139131
-29,-25,-0.000206836
-29,-24,-0.000301098
-29,-23,-0.000430547
-29,-22,-0.000605618
-29,-21,-0.000838621
-29,-20,-0.00114367
-29,-19,-0.00153643
-29,-18,-0.00203367
-29,-17,-0.00265254
-29,-16,-0.00340961
-29,-15,-0.00431961
-29,-14,-0.00539401
-29,-13,-0.00663942
-29,-12,-0.00805599
-29,-11,-0.00963587
-29,-10,-0.0113621
-29,-9,-0.0132076
-29,-8,-0.0151357
-29,-7,-0.0170999
-29,-6,-0.0190463
-29,-5,-0.0209152
-29,-4,-0.0226447
-29,-3,-0.0241738
-29,-2,-0.0254468
-29,-1,-0.026416
-29,0,-0.0270459
-29,1,-0.0273148
-29,2,-0.0272162
-29,3,-0.0267593
-29,4,-0.0259679
-29,5,-0.0248779
-29,6,-0.0235353
-29,7,-0.0219924
-29,8,-0.0203046
-29,9,-0.0185275
-29,10,-0.0167134
-29,11,-0.0149097
-29,12,-0.0131571
-29,13,-0.0114885
-29,14,-0.00992901
-29,15,-0.00849582
-29,16,-0.00719909
-29,17,-0.0060427
-29,18,-0.00502535
-29,19,-0.00414161
-29,20,-0.00338302
